Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
USDT,2020-09-09,1.001155416,1.0011423207,1.0027306657,0.9992833364
USDT,2020-09-10,1.0006857847,1.000819178,1.0026616136,0.9995494126
USDT,2020-09-11,1.0012235662,1.0007401725,1.0021563581,1.00014542
USDT,2020-09-12,1.0007474478,1.001140203,1.0016600905,1.00031
USDT,2020-09-13,1.0005818048,1.0007593546,1.0015875364,1.0001629343
USDT,2020-09-14,1.0013369079,1.0005065138,1.00261848,1.0000754524
USDT,2020-09-15,1.000512202,1.0010274365,1.0021609551,1.0001035498
USDT,2020-09-16,1.0009842391,1.0005999587,1.0025029373,0.9983666261
USDT,2020-09-17,1.0004725428,1.0012158379,1.0022577503,0.9993064761
USDT,2020-09-18,1.0005653349,1.0005910048,1.001612974,0.9999695351
USDT,2020-09-19,1.000273566,1.0005271885,1.0014429765,1.0000442066
USDT,2020-09-20,1.0004557022,1.0003727626,1.0014670833,0.9999581572
USDT,2020-09-21,1.000644519,1.0004469804,1.0019639004,0.99920909
USDT,2020-09-22,1.0005639346,1.0006010276,1.0018923688,0.9997935794
USDT,2020-09-23,1.0004275962,1.0004810715,1.0016527751,0.9996271441
USDT,2020-09-24,0.9995608793,1.0001322066,1.0023390925,0.9994155415
USDT,2020-09-25,1.0008580531,0.999927172,1.0027515914,0.9996089389
USDT,2020-09-26,1.000664524,1.0004641484,1.0014401998,1.000100678
USDT,2020-09-27,1.0005281342,1.0005548553,1.0014819199,0.999808129
USDT,2020-09-28,1.000297435,1.0001636886,1.0012483169,0.9996552484
USDT,2020-09-29,1.0004260382,0.999524429,1.0008110265,0.9987445258
USDT,2020-09-30,0.9999522092,1.0001836239,1.0016564041,0.998757213
USDT,2020-10-01,1.0001461456,1.0000921031,1.0019307209,0.9995214057
USDT,2020-10-02,1.0008373819,1.0005154055,1.0013116876,0.9996255058
USDT,2020-10-03,1.0009397036,1.0008603146,1.0017281933,1.0004382061
USDT,2020-10-04,1.0004858406,1.0015797632,1.0018649755,1.0001194536
USDT,2020-10-05,1.0000426567,1.0004240127,1.0019007612,0.99953246
USDT,2020-10-06,0.9997429927,1.0001563204,1.0012491251,0.9991270516
USDT,2020-10-07,0.9999050652,0.9996718387,1.0014470827,0.9993698112
USDT,2020-10-08,1.0004392162,0.9999440608,1.0013947522,0.9989065145
USDT,2020-10-09,1.0010176041,1.0005487866,1.0022331813,0.9998611785
USDT,2020-10-10,0.9998174767,1.000724815,1.00084269,0.9993779418
USDT,2020-10-11,0.9997857104,0.9997927117,1.0005284477,0.9992178769
USDT,2020-10-12,1.0002342224,1.0002723463,1.0016197404,0.9996563209
USDT,2020-10-13,1.0010114878,1.0001415491,1.0026865662,0.9998226682
USDT,2020-10-14,1.0013195512,1.0009234007,1.0016584474,0.9998792613
USDT,2020-10-15,1.0007178376,1.0014182644,1.0024158178,0.9999356352
USDT,2020-10-16,1.0011347512,1.0008162624,1.0018400793,0.9998839707
USDT,2020-10-17,1.0008053951,1.0010218988,1.0013532045,0.9998159139
USDT,2020-10-18,1.0009080108,1.0007329341,1.0017848766,0.9999527933
USDT,2020-10-19,1.0006267318,1.000932278,1.0013176162,0.9995928349
USDT,2020-10-20,1.0008771882,1.0002310605,1.0017101567,0.9988870492
USDT,2020-10-21,1.0013767882,1.0007759506,1.0023278189,1.0000841374
USDT,2020-10-22,1.001092968,1.0011455396,1.001905402,0.9993147393
USDT,2020-10-23,1.000007408,1.0007784504,1.0024162278,0.9991148217
USDT,2020-10-24,1.0003202579,1.0002523982,1.0037759598,1.0000279396
USDT,2020-10-25,1.0012781275,1.0001515252,1.0016799118,0.9994587403
USDT,2020-10-26,1.0009482203,1.0006263791,1.0018490118,0.9995782946
USDT,2020-10-27,1.0009196418,1.0011443127,1.0020638906,1.0000911463
USDT,2020-10-28,1.0006166652,1.0007783683,1.0017414867,0.9970243923
USDT,2020-10-29,1.0010803758,1.0007006824,1.0021903546,0.9996065967
USDT,2020-10-30,1.0009147819,1.0004886194,1.0020567857,0.9998465877
USDT,2020-10-31,1.0014279579,1.0011634501,1.0016635066,1.000153739
USDT,2020-11-01,1.000593564,1.001496238,1.0019813938,1.0003612998
USDT,2020-11-02,1.0007056651,1.0007454544,1.0015423963,0.9997971209
USDT,2020-11-03,1.0002356582,1.0009638359,1.0018954479,0.9995485503
USDT,2020-11-04,1.0005973868,0.9993515692,1.0045133896,0.9992174098
USDT,2020-11-05,1.000793307,1.001047539,1.0024505862,0.9996431254
USDT,2020-11-06,1.0012487662,1.0011871465,1.0020120643,1.0002511283
USDT,2020-11-07,0.9995447895,1.0018359383,1.002699312,0.9971031299
USDT,2020-11-08,1.0000594106,0.999884672,1.0016058746,0.9993050869
USDT,2020-11-09,1.0005054654,1.0006049439,1.0024747953,0.9997173736
USDT,2020-11-10,1.0010732389,1.0001745515,1.0016685741,0.9999619398
USDT,2020-11-11,1.0011909014,1.0013289852,1.0022391852,1.0003079095
USDT,2020-11-12,1.000646294,1.0009306627,1.0023604245,1.0002892305
USDT,2020-11-13,1.0001500141,1.0005644561,1.0014921646,1.0000717785
USDT,2020-11-14,1.0000346285,1.0002845582,1.0015620324,0.9993968891
USDT,2020-11-15,1.000786521,1.0003155952,1.0018238305,0.9999760909
USDT,2020-11-16,1.0000813505,1.0008167891,1.0012324103,1.0000813484
USDT,2020-11-17,1.0005104042,1.0003915138,1.0009003023,0.999574381
USDT,2020-11-18,1.0001735174,1.0005680242,1.002363595,0.9991285678
USDT,2020-11-19,1.0007037214,1.000174398,1.0009406034,0.9998652281
USDT,2020-11-20,1.0003510532,1.0009473385,1.0012065859,1.000021655
USDT,2020-11-21,0.9983585737,1.0002700732,1.00032606,0.9983266154
USDT,2020-11-22,0.9996337031,0.9983377181,1.000320347,0.9976076612
USDT,2020-11-23,1.0000796818,0.9987225196,1.0007143607,0.9987050566
USDT,2020-11-24,0.9995009496,0.9999001593,1.0026823329,0.9982603654
USDT,2020-11-25,1.000101579,0.9996349789,1.0016443492,0.9992084728
USDT,2020-11-26,1.0021147251,1.000120847,1.0032424907,0.9993104757
USDT,2020-11-27,1.0016641574,1.0021939315,1.0028336366,0.999850365
USDT,2020-11-28,1.0012916598,1.0014191246,1.0019626123,1.0008319467
USDT,2020-11-29,1.0008689836,1.001146514,1.0017785247,1.0006660547
USDT,2020-11-30,0.9994403894,1.0009663757,1.0015970518,0.9992496076
USDT,2020-12-01,1.0016138185,0.9994606212,1.0025493734,0.998350307
USDT,2020-12-02,1.0005963036,1.0016381462,1.0020504387,0.9999933837
USDT,2020-12-03,1.0008943742,1.0005719529,1.0020489849,1.0000449049
USDT,2020-12-04,1.0010522317,1.0008204662,1.0016679595,0.9987098672
USDT,2020-12-05,1.0009035026,1.0006507378,1.0019904661,0.9996200359
USDT,2020-12-06,1.0006226217,1.0006638122,1.0012489669,1.0001707219
USDT,2020-12-07,1.0004602117,1.000691434,1.0023411583,0.9989398899
USDT,2020-12-08,0.999389842,1.0003174387,1.001034412,0.9992406189
USDT,2020-12-09,1.00041985,0.9994901935,1.0013246103,0.99905818
USDT,2020-12-10,1.0002844251,1.0007580202,1.0012300123,0.9984200015
USDT,2020-12-11,1.0003511597,1.000330146,1.0014281026,0.9991139738
USDT,2020-12-12,1.0007981018,1.0002662864,1.0011991925,0.9996986188
USDT,2020-12-13,0.9994648857,1.0006961977,1.0010660472,0.9983971124
USDT,2020-12-14,1.0000570605,0.9993405201,1.0005127931,0.9988412477
USDT,2020-12-15,1.000414936,0.999506037,1.0009438679,0.9992922469
USDT,2020-12-16,1.0005390542,1.0002046728,1.0027723356,0.9990615565
USDT,2020-12-17,1.0001447307,1.0007261457,1.0009510441,0.998039234
USDT,2020-12-18,1.0005003989,1.0002646874,1.0007077721,0.9990284975
USDT,2020-12-19,0.9998740262,1.0007460232,1.0013436828,0.9993022731
USDT,2020-12-20,0.9994149473,1.0000047745,1.000401981,0.9989685958
USDT,2020-12-21,0.9999429777,1.0001389607,1.001404878,0.998466364
USDT,2020-12-22,0.9997594999,1.0002859768,1.0009980788,0.9991481749
USDT,2020-12-23,1.000080332,0.9988295064,1.0011476978,0.9987714294
USDT,2020-12-24,1.0002251442,0.9995920825,1.0004826208,0.9991369038
USDT,2020-12-25,0.9989799382,0.9999619085,1.0005480404,0.998966596
USDT,2020-12-26,0.9984272456,1.0002317635,1.000295432,0.9979892483
USDT,2020-12-27,0.9970186033,0.9981848304,0.9993417701,0.9956464069
USDT,2020-12-28,0.998725251,0.9979685998,1.0000763802,0.9962396385
USDT,2020-12-29,0.9986849445,0.9984583703,0.9996005089,0.998007283
USDT,2020-12-30,1.0004276817,0.9984788892,1.0007728968,0.9980583259
USDT,2020-12-31,1.0002375408,1.0003282007,1.0013600169,0.999253689
USDT,2021-01-01,1.0009255203,1.0002883289,1.0017615667,0.9984455036
USDT,2021-01-02,0.997540141,1.0011705248,1.0014788778,0.9885225203
