Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
USDC,2020-10-21,0.9995156339,0.9998748773,1.0010768418,0.9986193214
USDC,2020-10-22,0.9996719156,0.9993339205,1.0011077905,0.9985488901
USDC,2020-10-23,0.9995124426,0.9995638791,1.0016997935,0.9984165714
USDC,2020-10-24,0.9993192538,0.9993634905,1.0024971267,0.9990413885
USDC,2020-10-25,1.0001636861,0.9991595508,1.0006191939,0.9984752671
USDC,2020-10-26,0.9999523458,0.9996495003,1.0011208921,0.9990227006
USDC,2020-10-27,1.0003219466,0.999944782,1.0015741892,0.9992884273
USDC,2020-10-28,1.0002017809,1.0003629515,1.0014434943,0.9969140637
USDC,2020-10-29,1.0003610812,1.0002790107,1.0018400385,0.999074713
USDC,2020-10-30,0.9998877184,0.9998879887,1.0012292082,0.9992717673
USDC,2020-10-31,1.0005100865,1.0005333631,1.0009820368,0.999683718
USDC,2020-11-01,0.9998925254,1.0005035382,1.0012480175,0.9995979829
USDC,2020-11-02,1.0000223051,1.0001348012,1.0011820835,0.9991373658
USDC,2020-11-03,0.9996236138,1.0000677984,1.001344414,0.9990608464
USDC,2020-11-04,0.9999623387,0.9987141056,1.0042594144,0.9984588216
USDC,2020-11-05,0.9994740994,0.9999166541,1.0014644537,0.9987692451
USDC,2020-11-06,1.0001489195,0.9997092198,1.0007397904,0.9991602144
USDC,2020-11-07,0.9985701508,1.0005477204,1.0016670012,0.9968773623
USDC,2020-11-08,0.9994359159,0.9987062572,1.0004736857,0.9982696506
USDC,2020-11-09,0.9993244799,0.9998700351,1.0021168239,0.998681985
USDC,2020-11-10,1.0002469818,0.9994535818,1.0007779506,0.9988245167
USDC,2020-11-11,0.9999805557,1.0003285412,1.0011577836,0.9988027558
USDC,2020-11-12,0.999669955,0.9999129177,1.0010533199,0.9990051743
USDC,2020-11-13,0.9989035764,0.9995307209,1.0005388887,0.9988747527
USDC,2020-11-14,0.9991393498,0.9992180216,1.0007891926,0.9986916156
USDC,2020-11-15,1.000107276,0.9994800614,1.0010936291,0.9992094316
USDC,2020-11-16,0.9997582748,1.0000449807,1.0008124989,0.9994824332
USDC,2020-11-17,0.9996086141,0.9998595216,1.0003768066,0.9987190668
USDC,2020-11-18,0.9994247237,0.999657739,1.0013951586,0.9981404841
USDC,2020-11-19,0.9999267656,0.9994328675,1.0003566988,0.9991152063
USDC,2020-11-20,0.9996287658,1.0000417214,1.0005943093,0.9991476577
USDC,2020-11-21,0.9976598999,0.9995771023,0.9997081983,0.9975300782
USDC,2020-11-22,0.9985824823,0.9975229227,0.9998557759,0.9971764693
USDC,2020-11-23,0.9992080818,0.9976323645,0.9998596222,0.9975106682
USDC,2020-11-24,0.9988102383,0.9989351636,1.0012066733,0.9974988867
USDC,2020-11-25,0.9997287882,0.9988345761,1.0010968273,0.9985845069
USDC,2020-11-26,1.001228188,0.9999436289,1.0032595604,0.9994130057
